user,language,library,units,date,time,links,linked
mr148,French,grDevices (C files),73096,19234,14:57:59,NA,https://translate.rx.studio/translate/r-project/grdevices-c/fr/?checksum=08239837e3f1488f
mr148,French,grDevices (C files),73100,19234,14:59:33,NA,https://translate.rx.studio/translate/r-project/grdevices-c/fr/?checksum=1e999376f6b86823
mr148,French,grDevices (C files),73103,19234,15:02:04,NA,https://translate.rx.studio/translate/r-project/grdevices-c/fr/?checksum=18a93e465019f56d
mr148,French,grDevices (C files),73107,19234,15:05:03,NA,https://translate.rx.studio/translate/r-project/grdevices-c/fr/?checksum=86694000af0c8766
mr148,Italian,utils (R files),114026,19234,16:15:41,NA,https://translate.rx.studio/translate/r-project/utils-r/it/?checksum=43b4d41e5219b149
mr148,Italian,grid (R files),82209,19234,16:18:43,NA,https://translate.rx.studio/translate/r-project/grid-r/it/?checksum=052f1947ff84f29e
lente,Portuguese (Brazil),tools (R files),109394,19236,21:14:47,NA,https://translate.rx.studio/translate/r-project/tools-r/pt_BR/?checksum=0fcccd4a7b9e08a2
lente,Portuguese (Brazil),tools (R files),109290,19237,14:11:04,NA,https://translate.rx.studio/translate/r-project/tools-r/pt_BR/?checksum=5b6207235f69ce3f
lente,Portuguese (Brazil),tools (R files),109489,19237,14:35:38,NA,https://translate.rx.studio/translate/r-project/tools-r/pt_BR/?checksum=a5f78457ce7150b7
lente,Portuguese (Brazil),utils (R files),115924,19237,17:29:42,NA,https://translate.rx.studio/translate/r-project/utils-r/pt_BR/?checksum=a6e358bc5183524e
msquiroga,Spanish,stats (C files),126537,19280,13:50:04,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=0a10a23fcf66037c
msquiroga,Spanish,stats (C files),126540,19280,13:51:39,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=6760ed40f4cb1340
PatriLoto,Spanish,base (C files),49197,19280,13:56:32,NA,https://translate.rx.studio/translate/r-project/base-c/es/?checksum=48c63c771209714c
PatriLoto,Spanish,graphics (C files),77231,19280,13:56:32,NA,https://translate.rx.studio/translate/r-project/graphics-c/es/?checksum=48c63c771209714c
beatrizmilz,Portuguese (Brazil),utils (R files),116162,19280,14:12:42,NA,https://translate.rx.studio/translate/r-project/utils-r/pt_BR/?checksum=7e3ed41b54255775
msquiroga,Spanish,stats (C files),126560,19280,14:15:26,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=d063da4d9b63e768
msquiroga,Spanish,stats (C files),126573,19280,14:20:27,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=e9f68d3a73a5e45f
msquiroga,Spanish,stats (C files),126576,19280,14:22:11,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=52a8ca68fd514a68
msquiroga,Spanish,stats (C files),126577,19280,14:22:37,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=ce13ece6aa912398
Gtormin,Portuguese (Brazil),stats4 (R files),99823,19280,14:23:03,NA,https://translate.rx.studio/translate/r-project/stats4-r/pt_BR/?checksum=efca1e95454e9f53
msquiroga,Spanish,stats (C files),126578,19280,14:23:19,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=9e5f8920b7656e56
msquiroga,Spanish,stats (C files),126579,19280,14:23:47,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=037dfbbb3b9cef11
Gtormin,Portuguese (Brazil),stats4 (R files),99824,19280,14:23:51,NA,https://translate.rx.studio/translate/r-project/stats4-r/pt_BR/?checksum=5939b4e28a714eda
msquiroga,Spanish,stats (C files),126580,19280,14:24:02,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=2a71ff4b46d806ff
Gtormin,Portuguese (Brazil),stats4 (R files),99828,19280,14:24:13,NA,https://translate.rx.studio/translate/r-project/stats4-r/pt_BR/?checksum=b938c2e7ff672b38
msquiroga,Spanish,stats (C files),126581,19280,14:24:28,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=7f867c4cf016bd0a
msquiroga,Spanish,stats (C files),126582,19280,14:24:48,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=c805e29c6679d2dc
msquiroga,Spanish,stats (C files),126587,19280,14:26:45,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=0ed0a9fdc60db511
Gtormin,Portuguese (Brazil),methods (R files),87735,19280,14:40:11,NA,https://translate.rx.studio/translate/r-project/methods-r/pt_BR/?checksum=df0b49c43e5a6990
Gtormin,Portuguese (Brazil),methods (R files),87805,19280,14:45:41,NA,https://translate.rx.studio/translate/r-project/methods-r/pt_BR/?checksum=14396a2054dbb82e
msquiroga,Spanish,stats (C files),126591,19280,17:41:46,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=bcb689c51ddeab1a
msquiroga,Spanish,stats (C files),126592,19280,17:41:58,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=0b596e99a6a459ec
msquiroga,Spanish,stats (C files),126598,19280,17:44:44,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=d9f0ec2cee10b8e7
msquiroga,Spanish,stats (C files),126619,19280,17:54:24,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=21a12ec37e82cf75
msquiroga,Spanish,stats (C files),126625,19280,21:38:25,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=a3391b6e348f3247
msquiroga,Spanish,stats (C files),126630,19280,21:41:39,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=90b2458e1ee7afe7
msquiroga,Spanish,stats (C files),126632,19280,21:42:49,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=15cf18012cd9205d
msquiroga,Spanish,stats (C files),126636,19280,21:44:30,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=453d2460d5355afd
msquiroga,Spanish,stats (C files),126638,19280,21:46:30,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=9cb48fa768266e9d
msquiroga,Spanish,stats (C files),126641,19280,21:47:35,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=caf4415d62d2d403
msquiroga,Spanish,stats (C files),126642,19280,21:48:06,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=f9e3bdfa91ac85dd
msquiroga,Spanish,stats (C files),126643,19280,21:48:31,NA,https://translate.rx.studio/translate/r-project/stats-c/es/?checksum=a805bdd5bf52dd5e
